Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
4,28,66 Pacific Avenue,66 Pacific Avenue,276,17,20,1,240,28,4,1,0,273,111,0.41,0,0
4,29,35 High Park Avenue,35 High Park Avenue,296,10,11,6,270,21,3,1,1,296,115,0.39,0,0
4,30,Parkside Apartments,65 High Park Avenue,448,18,25,3,415,24,1,0,0,440,152,0.35,0,0
4,31,95 High Park Avenue,95 High Park Avenue,296,14,10,2,276,24,2,0,0,302,109,0.36,0,0
4,33,100 High Park Avenue,100 High Park Avenue,376,14,4,4,350,34,1,0,0,385,105,0.27,0,0
4,34,The Livemore High Park,50 High Park Ave,854,70,68,2,762,90,7,4,1,864,318,0.37,0,0
4,35,High Park Green,100 Quebec Avenue,546,6,16,6,462,69,3,3,0,537,229,0.43,0,0
4,36,High Park Green,50 Quebec Avenue,1189,32,55,4,1032,119,11,3,2,1167,404,0.35,0,0
4,37,Runnymede Public Library,2178 Bloor St W,913,23,18,10,767,135,7,14,2,925,280,0.3,1,0
4,38,Runnymede United Church,432 Runnymede Road,2620,54,38,12,2231,363,19,11,19,2643,792,0.3,5,1
4,39,St. Pius X Catholic School,71 Jane Street,2934,78,67,31,2271,622,18,25,11,2947,893,0.3,0,0
4,40,Swansea Town Hall,95 Lavinia Avenue,2511,51,62,22,1994,432,23,24,28,2501,759,0.3,0,0
4,41,Morningside High Park Church,4 Morningside Avenue,1701,42,61,12,1432,203,18,22,6,1681,523,0.31,0,0
4,42,Swansea Jr.Sr. Public School,207 Windermere Avenue,2729,16,84,17,2111,500,23,30,3,2667,655,0.25,0,0
4,43,35 Ormskirk Ave,35 Ormskirk Ave,326,5,6,3,273,47,5,0,0,325,149,0.46,0,0
4,44,The Southport,60 Southport Street,422,7,8,3,337,75,6,3,0,421,190,0.45,0,0
4,45,Grenadier Gardens,45 Southport Street,513,5,3,2,409,103,2,2,0,516,162,0.31,0,0
4,46,South Kingsway Village Rec Ctr,20 Southport Street,567,13,9,7,473,92,4,1,0,570,238,0.42,0,0
4,47,Southampton,1 Ripley Avenue,192,7,0,5,168,25,3,2,0,198,127,0.64,0,0
4,48,NXT at Windermere by the Lake,103 The Queensway,1270,25,38,6,1169,81,5,2,0,1257,278,0.22,0,0
4,49,Windermere By The Lake,15 Windermere Ave,489,15,8,0,453,39,2,0,1,495,157,0.32,0,0
4,50,Park Lake Residences,1900 Lake Shore Blvd West,330,18,6,1,310,27,2,3,0,342,109,0.32,0,0
4,51,Howard Public School Jr.,30 Marmaduke Street,3775,190,107,24,3241,510,70,14,27,3862,1226,0.32,0,0
4,53,St. Vincent de Paul Catholic School,116 Fermanagh Avenue,2890,142,76,36,2443,438,56,12,15,2964,1044,0.35,0,0
4,54,High Park Public Library,228 Roncesvalles Avenue,2131,96,73,13,1840,276,27,8,8,2159,717,0.33,0,0
4,55,Garden Avenue Public School,225 Garden Avenue,2374,137,40,15,2067,326,50,8,26,2477,875,0.35,0,0
4,56,Copernicus Lodge,66 Roncesvalles Avenue,310,136,19,51,277,149,0,0,1,427,101,0.24,2,0
4,57,Parkdale Activity Recreation Centre,1499 Queen Street West,1213,81,36,5,1073,149,19,3,21,1265,330,0.26,0,0
4,58,Parkdale Jr. & Sr. Public School,75 Lansdowne Avenue,2834,115,58,10,2544,331,31,7,4,2917,774,0.27,0,0
4,59,May Robinson Apartments,20 West Lodge Avenue,1766,79,65,6,1539,204,20,6,29,1798,451,0.25,0,0
4,60,Parkdale Collegiate Institute,209 Jameson Avenue,2018,108,45,8,1835,262,17,6,4,2124,436,0.21,2,0
4,61,White Eagle Residence,138 Dowling Avenue,58,6,0,0,43,21,0,0,0,64,12,0.19,0,0
4,62,Springhurst Manor,1447 King Street West,796,42,35,10,709,95,7,0,0,811,188,0.23,0,0
4,63,Holy Family Catholic School,141 Close Avenue,1683,67,35,10,1406,337,6,3,1,1753,352,0.2,0,0
4,64,245 Dunn Avenue,245 Dunn Avenue,411,5,1,6,349,68,1,0,0,418,118,0.28,1,0
4,65,Masaryk-Cowan Community Centre,220 Cowan Avenue,1547,62,55,5,1335,206,12,3,10,1566,348,0.22,0,0
4,66,Elm Grove Living Centre,35 Elm Grove Avenue,61,17,0,0,66,12,0,0,0,78,27,0.35,0,0
4,67,Parkdale United Church,1355 King St. West,2347,90,82,9,2130,218,15,5,2,2370,464,0.2,0,0
4,68,Queen Victoria Public School,100 Close Avenue,2024,67,50,9,1786,277,13,1,1,2078,431,0.21,0,0
4,69,Toronto Rehab - Bickle Centre,130 Dunn Avenue,115,15,6,0,110,11,0,3,0,124,17,0.14,1,0
4,70,Lakeside Long Term Care Centre,150 Dunn Ave,0,29,0,0,28,1,0,0,0,29,29,1,1,0
4,71,85 Spencer Avenue,85 Spencer Avenue,1078,36,48,2,940,133,4,3,0,1080,216,0.2,0,0
4,72,Norwood Nursing Home,122 Tyndall Avenue,31,0,0,0,21,9,0,1,0,31,13,0.45,1,1
4,73,102 Tyndall Avenue,102 Tyndall Avenue,843,26,16,3,672,183,7,0,0,862,203,0.24,2,0
4,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210,NA,1,0
4,98,Annette Community Centre,333 Annette Street,NA,216,109,131,NA,NA,NA,NA,NA,NA,4144,NA,5,0
4,99,Masaryk-Cowan Community Centre,220 Cowan Avenue,NA,317,73,90,NA,NA,NA,NA,NA,NA,2536,NA,0,1
4 Total,NA,NA,NA,82625,3809,2634,776,70052,12142,843,391,372,83800,32223,0.38,35,8
5,1,Country Club Towers A,2460 Weston Road,464,17,3,0,425,61,0,0,0,486,115,0.24,0,0
5,2,Pelmo Park Community Centre,171 Pellatt Avenue,1558,22,17,12,793,759,1,0,11,1564,437,0.28,0,0
5,3,Pelmo Park Public School,180 Gary Drive,2061,35,19,17,1101,964,8,3,0,2076,626,0.3,0,0
5,4,Falstaff Community Centre,50 Falstaff  Avenue,2423,42,51,5,1499,925,0,1,1,2426,502,0.21,0,0
5,5,Casa Abruzzo,338 Falstaff Avenue,218,7,9,1,170,46,0,0,0,216,105,0.49,0,1
5,6,St. Fidelis Catholic School,9 Bannerman Street,2229,39,19,17,834,1414,2,1,3,2254,557,0.25,0,1
5,7,North Park Nursing Home,450 Rustic Road,42,6,0,0,42,6,0,0,0,48,8,0.17,0,0
5,8,Ecole Elementaire Mathieu da Costa,116 Cornelius Parkway,1661,24,10,13,678,975,8,13,3,1677,418,0.25,4,0
5,9,St. Francis Xavier Catholic School,53 Gracefield Avenue,1640,16,18,0,693,944,1,2,0,1640,292,0.18,0,0
5,10,Amesbury Middle School,201 Gracefield Avenue,1271,16,14,2,675,595,3,1,0,1274,250,0.2,2,0
5,11,Chaminade College Catholic School,490 Queen's Drive,1390,4,27,0,609,748,0,2,3,1362,287,0.21,0,0
5,12,Upwood Park Co-op,300 Queen's Drive,590,0,16,1,405,171,5,0,0,581,112,0.19,0,0
5,13,Weston Gardens Retirement Living,303 Queen's Drive,105,18,75,0,24,22,1,1,0,48,41,0.85,0,0
5,14,Maple Leaf Drive Seniors,10 Maple Leaf Drive,183,4,19,2,159,8,1,0,0,168,71,0.42,0,0
5,15,Weston Memorial Jr. Public School,200 John Street,2260,68,45,10,1622,622,13,5,21,2283,682,0.3,0,0
5,16,Weston Library,2 King Street,1595,21,35,6,1334,231,2,6,14,1587,267,0.17,0,2
5,17,H. J. Alexander Community School,30 King Street,2005,61,46,4,1575,412,9,4,25,2025,479,0.24,0,1
5,18,Humberview Co-op,2100 Weston Road,277,12,3,4,270,17,0,0,0,287,99,0.34,0,0
5,19,Central King Seniors Residence,15 King Street,136,8,8,0,123,15,0,0,0,138,75,0.54,0,0
5,20,Eagle Manor,1901 Weston Road,320,7,15,0,303,5,2,2,0,312,71,0.23,0,0
5,21,5 Bellevue Crescent,5 Bellevue Crescent,397,8,5,1,355,46,1,0,0,402,86,0.21,0,0
5,22,River Ridge,1 Hickory Tree Road,533,13,18,2,408,116,2,2,0,528,196,0.37,0,0
5,23,C.R. Marchant Middle School,1 Ralph Street,2607,58,58,7,2042,527,2,4,41,2616,506,0.19,0,0
5,24,Weston Terrace Care Community,2005 Lawrence Avenue West,121,8,0,0,74,54,0,1,0,129,8,0.06,1,0
5,25,Portage Trail CJS/CMS,100 Sidney Belsey Crescent,2975,5,38,1,2119,806,8,5,8,2946,646,0.22,1,1
5,26,Harding Square,5 Harding Avenue,181,12,5,5,156,35,0,0,0,191,43,0.23,0,0
5,27,St. Bernard Catholic School,12 Duckworth Street,2739,40,62,7,1762,939,9,3,9,2722,390,0.14,1,0
5,28,Brookhaven Public School,70 Brookhaven Drive,3206,33,37,10,2069,1118,2,6,8,3203,600,0.19,0,0
5,29,Lawrence Park,1577 Lawrence Avenue West,529,12,23,9,373,143,0,1,0,517,112,0.22,0,0
5,30,Amesbury Community Centre,1507 Lawrence Avenue West,1955,25,57,7,1325,601,2,1,1,1930,261,0.14,0,0
5,31,George Anderson Public School,30 George Anderson Drive,1586,29,32,4,718,837,0,7,23,1585,343,0.22,0,0
5,33,Maple Creek,10 Martha Eaton Way,627,12,17,0,472,148,2,1,0,623,164,0.26,2,0
5,34,Amesbury Heights,15 Martha Eaton Way,449,8,3,0,343,111,0,3,0,457,73,0.16,0,0
5,35,Greenborough Community Church,2000 Keele Street,1913,25,60,17,1052,816,5,4,0,1877,338,0.18,0,0
5,36,Harold & Grace Baker Centre,1 Northwestern Avenue,77,19,54,0,29,13,0,0,0,42,30,0.71,0,0
5,37,Vila Gaspar,33 Gabian Way,476,9,7,1,340,137,0,0,0,477,117,0.25,0,1
5,38,Plaut Manor,2480 Eglinton Avenue West,701,8,6,4,518,171,1,1,12,703,141,0.2,2,0
5,39,Charles E. Webster Public School,1900 Keele Street,2489,38,31,6,1631,843,9,2,10,2495,432,0.17,2,0
5,41,Silverthorn Community School,300 Kane Avenue,4242,64,40,20,2388,1841,8,7,27,4271,835,0.2,3,1
5,42,York Recreation Centre,115 Black Creek Drive,1962,33,11,12,1349,599,9,4,20,1981,336,0.17,0,0
5,45,Bala Avenue Community School,6 Bala Avenue,3314,70,29,10,2603,743,3,3,10,3362,566,0.17,2,0
5,46,Our Lady of Victory Residence,200 Dora Spencer Road,164,5,5,0,149,14,1,0,0,164,50,0.3,0,0
5,48,West Park Long Term Care Centre,82 Buttonwood Avenue,219,41,167,1,86,7,0,0,0,93,52,0.58,2,2
5,49,Emmett House,85 Emmett Avenue,468,12,2,2,326,152,0,0,0,478,154,0.32,0,0
5,51,The Winston House,75 Emmett Avenue,658,24,3,1,538,141,2,1,0,682,234,0.34,0,0
5,52,Lambton Square,270 Scarlett Road,373,9,14,8,262,104,0,2,0,368,177,0.48,1,0
5,53,Lambton Square,260 Scarlett Road,370,13,7,0,291,83,1,1,0,376,191,0.51,0,0
5,54,Lambton Square,240 Scarlett Road,365,10,10,3,274,89,0,1,0,364,171,0.47,0,0
5,55,Lambton Square,250 Scarlett Road,354,0,4,0,259,87,2,1,0,349,152,0.44,0,0
5,56,Roselands Junior Public School,990 Jane Street,1891,26,28,12,1300,574,7,6,4,1891,439,0.23,0,0
5,57,Outlook Manor,55 Outlook Avenue,252,7,2,4,238,19,0,0,0,257,106,0.41,2,0
5,58,Lambton Park Community School,50 Bernice Crescent,2492,42,40,9,1735,729,8,21,3,2496,710,0.28,0,0
5,59,George Syme Community School,69 Pritchard Avenue,869,24,3,2,679,211,1,0,2,893,207,0.23,1,0
5,60,David Appleton Community Centre,33 Pritchard Avenue,1518,56,19,5,1036,487,13,9,10,1555,430,0.28,1,0
5,61,George Bell Arena,215 Ryding Avenue,1328,25,24,11,909,396,7,3,18,1333,342,0.26,0,0
5,62,Rockcliffe Middle School,400 Rockcliffe Blvd.,2148,18,16,5,1719,416,6,4,9,2154,320,0.15,2,0
5,63,Frank Oke Secondary School,500 Alliance Avenue,2429,53,48,16,1567,847,6,11,6,2437,555,0.23,0,0
5,64,Our Lady of Victory Catholic School,70 Guestville Avenue,2347,39,27,7,1563,762,7,3,24,2359,555,0.24,1,0
5,65,Mount Dennis Apartments,101 Humber Blvd.,193,5,1,0,184,13,0,0,0,197,50,0.25,1,0
5,66,Santa Maria Catholic School,25 Avon Avenue,2518,32,22,3,1634,862,12,2,20,2530,462,0.18,0,3
5,67,Silverthorn Place,600 Rogers Road,211,14,1,1,211,13,0,0,0,224,114,0.51,1,0
5,68,Villa Bello Horizonte,1500 Keele Street,202,1,4,0,154,44,0,0,0,198,80,0.41,2,2
5,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,0,0
5,98,Amesbury Community Centre,1507 Lawrence Ave West,NA,90,22,78,NA,NA,NA,NA,NA,NA,2020,NA,0,0
5,99,York Recreation Centre,115 Black Creek Drive,NA,109,69,80,NA,NA,NA,NA,NA,NA,2054,NA,0,2
5 Total,NA,NA,NA,76876,1611,1580,465,50574,25634,192,161,346,76907,21807,0.28,34,17
6,1,West Don Apartments,6250 Bathurst Street,1769,18,30,5,1621,129,6,0,1,1757,364,0.21,0,0
6,3,Primrose,1121 Steeles Avenue West,925,19,19,8,871,51,4,0,0,926,292,0.32,0,0
6,4,Garden View Terrace,1875 Steeles Avenue West,197,1,3,0,144,48,3,0,0,195,50,0.26,0,0
6,5,Rockford Public School,60 Rockford Road,3563,28,33,8,3202,340,7,5,4,3558,618,0.17,1,0
6,6,Valencia Towers,6030 Bathurst Street,286,5,2,0,237,51,0,0,0,288,73,0.25,0,0
6,7,Antibes Community Centre,140 Antibes Drive,2864,17,69,17,2407,391,11,2,0,2811,461,0.16,0,0
6,8,Antibes Court,100 Antibes Drive,316,6,5,0,289,25,0,4,0,318,106,0.33,0,0
6,10,115 Antibes Drive,115 Antibes Drive,370,9,5,4,354,18,0,0,0,372,122,0.33,0,0
6,11,The Hemispheres I,133 Torresdale Avenue,271,2,5,0,251,17,0,0,0,268,84,0.31,0,0
6,12,Hemisphere II,131 Torresdale Avenue,262,2,0,0,259,4,0,1,0,264,93,0.35,0,0
6,13,Northview Heights Secondary School,550 Finch Avenue West,2575,22,66,7,2082,437,6,2,0,2527,412,0.16,0,0
6,14,Valleyview Residence,541 Finch Avenue West,0,28,0,0,28,0,0,0,0,28,28,1,0,0
6,15,Herbert H. Carnegie Centennial Centre,580 Finch Avenue West,2325,16,71,2,1891,291,9,3,81,2275,385,0.17,0,0
6,16,Advent Forestview Retirement Residence,537 Finch Avenue West,0,26,0,0,26,0,0,0,0,26,26,1,0,0
6,18,Charles H. Best Middle School,285 Wilmington Avenue,1102,14,12,0,956,146,1,2,0,1105,230,0.21,1,0
6,19,Irving W. Chapley Community Centre,205 Wilmington Avenue,1681,17,35,3,1352,296,1,3,17,1669,242,0.14,1,0
6,20,St. Bernard's Residence,685 Finch Avenue West,36,5,0,2,3,38,0,0,0,41,17,0.41,0,0
6,21,Beth Emeth Bais Yehuda,100 Elder St,1923,20,24,9,1478,426,14,2,1,1921,342,0.18,1,0
6,22,William Lyon MacKenzie Collegiate,20 Tillplain Road,2531,20,38,15,1820,624,11,2,62,2519,406,0.16,0,0
6,23,Metro Place Condos,1070 Sheppard Avenue West,1077,16,26,4,971,86,5,5,1,1068,207,0.19,0,0
6,24,Kensington Place Retirement Res.,866 Sheppard Avenue West,46,13,22,0,37,0,0,0,0,37,24,0.65,0,0
6,25,Southside Condos,"31 Tippett Rd, North York",302,21,2,0,309,12,0,0,0,321,79,0.25,0,1
6,26,B'nai Brith Canada,15 Hove Street,1676,22,13,7,1307,341,8,3,28,1687,294,0.17,0,0
6,27,Sheppard Place,4455 Bathurst Street,1607,13,26,8,1419,165,2,3,7,1596,302,0.19,2,0
6,28,Earl Bales Community Centre,4169 Bathurst Street,1529,20,19,0,1296,212,10,0,8,1526,263,0.17,0,0
6,29,B'Nai Brith Seniors Building,4300 Bathurst Street,196,2,6,1,191,1,0,0,0,192,58,0.31,0,1
6,30,B'nai Brith Upper Canada Lodge,4266 Bathurst Street,164,0,2,0,161,1,0,0,0,162,72,0.44,0,0
6,31,St. Robert Catholic School,70 Bainbridge Avenue,2610,34,44,12,2076,519,4,2,2,2603,499,0.19,1,0
6,32,Dublin Heights Public School,100 Bainbridge Avenue,2570,35,20,5,1910,649,8,10,9,2586,539,0.21,4,0
6,33,Faywood Arts-Based School,95 Faywood Blvd.,3525,56,86,9,2772,687,7,11,23,3500,775,0.22,0,0
6,34,Summit Heights Public School,139 Armour Blvd.,2347,23,38,4,2112,208,3,0,9,2332,600,0.26,0,1
6,36,Gramercy Park,525 Wilson Avenue,604,18,18,1,537,66,0,1,0,604,162,0.27,2,0
6,37,The Station,555 Wilson Ave,368,18,7,2,344,32,0,2,0,378,90,0.24,0,0
6,38,Ancaster Community Centre,41 Ancaster Road,1672,12,7,9,647,991,9,5,28,1680,317,0.19,0,0
6,39,Aptus Treatment Centre,111 Anthony Road,1726,24,19,13,909,801,1,5,14,1730,279,0.16,0,0
6,40,Downsview Public School,2829 Keele Street,2691,57,50,21,1923,723,8,10,35,2699,370,0.14,4,0
6,41,Blaydon Public School,25 Blaydon Avenue,1879,12,12,8,992,857,3,24,0,1876,356,0.19,2,0
6,42,St. Raphael Catholic School,3 Gade Drive,2706,18,39,4,1545,1110,8,8,11,2682,393,0.15,0,0
6,43,Roding Community Centre,600 Roding Street,1374,15,15,2,443,925,1,5,0,1374,336,0.24,0,0
6,44,Highview Public School,22 Highview Avenue,2141,9,21,10,1425,694,2,1,8,2130,337,0.16,0,1
6,45,Downsview Acres,2195 Jane Street,266,7,3,1,256,12,0,2,0,270,79,0.29,0,0
6,46,Tumpane Public School,48 Tumpane Street,1640,16,19,8,775,849,3,10,1,1638,306,0.19,1,0
6,48,Beverley Heights Middle School,26 Troutbrooke Drive,2273,14,19,4,1336,920,2,8,2,2268,365,0.16,0,0
6,49,Fairway Downs,2645 Jane Street,419,2,1,5,240,174,0,5,0,419,111,0.26,0,0
6,50,Calico Public School,35 Calico Drive,1645,17,4,2,880,768,1,9,1,1659,330,0.2,3,0
6,51,St. Martha Catholic School,1865 Sheppard Avenue West,961,10,4,1,517,449,0,0,0,966,241,0.25,2,0
6,52,Stilecroft Public School,50 Stilecroft Drive,1354,7,12,2,698,641,2,7,0,1348,253,0.19,0,0
6,53,Sheppard Public School,1430 Sheppard Avenue West,2398,17,25,6,1665,711,4,2,8,2390,371,0.16,0,0
6,55,St. Jerome Catholic School,111 Sharpecroft Blvd.,1625,8,15,5,919,693,1,5,0,1618,284,0.18,1,0
6,56,Downsview Long Term Care,3595 Keele Street,67,24,2,0,52,34,0,0,3,89,31,0.35,0,0
6,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458,NA,0,0
6,98,Ancaster Community Centre,41 Ancaster Road,NA,22,22,22,NA,NA,NA,NA,NA,NA,1039,NA,3,0
6,99,Irving W. Chapley Community Centre,205 Wilmington Ave,NA,96,76,40,NA,NA,NA,NA,NA,NA,2553,NA,2,2
6 Total,NA,NA,NA,68454,953,1111,296,49935,17663,165,169,364,68296,17124,0.25,31,6
7,1,Venerable John Merlini School,123 Whitfield Avenue,1958,17,14,5,781,1167,6,6,0,1960,546,0.28,1,0
7,2,Humber Summit Library,2990 Islington Avenue,1035,18,14,2,431,576,3,10,19,1039,259,0.25,1,1
7,3,St. Roch Catholic School,174 Duncanwoods Drive,1370,21,31,9,818,529,0,7,6,1360,292,0.22,0,1
7,4,Humber Summit Middle School,60 Pearldale Avenue,2166,35,48,2,1496,643,0,8,7,2154,462,0.21,0,0
7,5,Gracedale Public School,186 Gracedale Blvd.,1595,10,14,5,956,597,4,0,37,1594,328,0.21,1,0
7,6,Blacksmith Public School,45 Blacksmith Crescent,2316,25,16,6,1505,816,3,6,0,2330,388,0.17,8,0
7,9,John Booth Memorial Arena,230 Gosford Boulevard,1424,19,13,14,823,605,0,2,5,1435,240,0.17,4,0
7,10,Driftwood Community Centre,4401 Jane Street,2048,31,32,9,1702,330,6,11,2,2051,309,0.15,0,0
7,11,Edgeley Apartments,35 Shoreham Drive,312,12,4,3,304,18,0,0,0,322,102,0.32,5,0
7,13,York University - New Student Centre,4700 Keele Street,1676,22,87,2,1349,230,12,13,5,1609,81,0.05,2,0
7,14,Gosford Public School,30 Gosford Boulevard,1766,26,15,1,1315,437,2,3,22,1779,363,0.2,0,1
7,15,Norfinch Care Community,22 Norfinch Drive,20,5,0,0,17,8,0,0,0,25,23,1,0,2
7,16,Recreation Centre,15 San Romanoway,1152,23,43,6,796,334,1,0,0,1131,192,0.17,0,0
7,17,Driftwood Public School,265 Driftwood Avenue,2493,35,41,6,1753,733,3,1,0,2490,341,0.14,3,0
7,19,Bristol House,10 Tobermory Drive,298,4,4,7,222,77,0,0,0,299,90,0.3,0,0
7,20,Yorkwoods Apartments,500 Murray Ross Parkway,441,0,15,2,361,62,3,0,0,426,97,0.23,0,0
7,25,James Cardinal McGuigan School,1440 Finch Avenue West,2551,36,34,8,2008,524,11,6,3,2552,400,0.16,2,0
7,26,Four Winds,31 Four Winds Drive,645,24,9,5,497,156,1,4,1,659,198,0.3,4,0
7,28,Derrydown Public School,120 Derrydown Road,1557,48,19,6,1011,563,2,3,8,1587,359,0.23,1,0
7,29,Northwood Apartments,3680 Keele Street,204,19,1,0,205,16,0,0,0,221,67,0.3,0,0
7,30,Elia Middle School,215 Sentinel Road,1741,12,24,8,1229,491,5,2,0,1727,311,0.18,1,0
7,31,C.W. Jefferys Collegiate Institute,340 Sentinel Road,2038,16,23,6,1504,521,3,7,0,2035,289,0.14,0,0
7,32,Lamberton Public School,33 Lamberton Blvd.,1395,12,11,15,791,604,1,2,0,1398,363,0.26,0,0
7,33,Topcliff Public School,65 Topcliff Avenue,1350,13,17,9,1026,317,1,1,1,1346,278,0.21,0,0
7,35,Yorkwoods Public School,25 Yorkwoods Gate,2347,15,36,4,1754,544,5,16,8,2327,343,0.15,1,0
7,38,Oakdale Park Middle School,315 Grandravine Drive,1140,7,11,1,753,378,0,1,2,1134,122,0.11,0,0
7,39,St. Francis De Sales School,333 Firgrove Crescent,2794,24,173,5,1921,704,3,2,15,2645,390,0.15,3,0
7,40,Hawthorne Place Care Centre,2045 Finch Avenue West,288,0,57,0,230,1,0,0,0,231,53,0.23,0,0
7,42,Lori Gardens Apartments,2405 Finch Avenue West,364,1,17,0,269,79,0,0,0,348,92,0.26,0,0
7,43,Weston Towers,3400 Weston Road,339,10,19,3,246,82,1,1,0,330,72,0.22,0,0
7,44,Century Gardens,3390 Weston Road,345,7,11,0,272,68,1,0,0,341,98,0.29,0,0
7,45,Daystrom Public School,25 Daystrom Drive,2572,18,100,11,1707,762,4,8,11,2492,474,0.19,0,0
7,46,Nile Academy,5 Blue Haven Crescent,1887,27,40,13,1413,455,4,1,1,1874,387,0.21,3,1
7,47,Gulfstream Public School,20 Gulfstream Road,1414,21,25,9,785,613,3,8,3,1412,293,0.21,0,0
7,48,St. Jude Catholic School,3251 Weston Road,1938,22,39,3,1031,780,2,5,102,1920,354,0.18,1,0
7,49,Stanley Public School,75 Stanley Road,2022,21,51,2,1313,667,4,0,12,1996,244,0.12,0,0
7,50,Domenico DiLuca Community Centre,25 Stanley Road,1925,9,27,5,972,908,1,15,9,1905,328,0.17,0,0
7,52,Blessed Margherita Catholic School,108 Spenvalley Drive,2150,18,30,6,981,1148,1,3,6,2139,373,0.17,1,0
7,53,Arleta Manor,7-11 Arleta Ave,372,19,3,6,360,28,0,0,0,388,153,0.4,0,1
7,54,Northwood Community Centre,15 Clubhouse Court,1401,16,8,9,574,834,0,2,0,1410,302,0.21,2,0
7,55,Chalkfarm Public School,100 Chalkfarm Drive,1999,14,18,4,1349,638,6,3,0,1996,312,0.16,0,1
7,56,Ghana Calvary Methodist United Church,65 Mayall Avenue,2258,24,7,0,1403,851,1,2,20,2277,335,0.15,0,0
7,57,Carmine Stefano Community Centre,3100 Weston Rd,2989,30,40,23,1925,1046,8,3,0,2982,549,0.18,3,0
7,59,St. Basil the Great College School,20 Starview Lane,2499,22,36,8,991,1475,2,10,8,2486,575,0.23,0,0
7,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,0,0
7,98,Domenico DiLuca Community Centre,25 Stanley Road,NA,23,7,38,NA,NA,NA,NA,NA,NA,1161,NA,1,1
7,99,Driftwood Community Centre,4401 Jane Street,NA,45,24,13,NA,NA,NA,NA,NA,NA,979,NA,1,1
7 Total,NA,NA,NA,66594,876,1308,299,43149,22415,113,172,313,66162,14616,0.22,49,10
8,1,Armour Heights Public School,148 Wilson Avenue,1780,16,39,3,1519,232,6,1,3,1761,316,0.18,1,0
8,2,The Four Thousand,4000 Yonge Street,438,14,23,8,385,41,1,2,0,429,173,0.4,0,0
8,3,Loretto Abbey Catholic S. S.,101 Mason Blvd.,1529,14,20,5,1319,193,5,2,3,1522,391,0.26,0,0
8,4,Armour Heights Presb. Church,105 Wilson Avenue,1736,18,11,7,1485,253,5,5,0,1748,415,0.24,0,0
8,5,Armour Heights Community Centre,2140 Avenue Road,1353,19,41,4,1128,184,3,7,11,1333,279,0.21,3,0
8,6,Marjory Carton Apartments,193 Wilson Avenue,127,1,12,0,108,9,1,0,0,118,28,0.24,0,0
8,7,St. Margaret Catholic School,85 Carmichael Avenue,2179,28,35,0,1880,280,6,6,2,2174,408,0.19,0,0
8,9,The Empress House,3636 Bathurst Street,300,16,14,0,256,46,0,0,0,302,132,0.44,0,0
8,10,Reuben Cipin Residence,2 Neptune Drive,1403,36,45,7,944,446,5,0,0,1395,335,0.24,1,0
8,11,Baycrest Health Sciences,3560 Bathurst Street,249,101,147,14,203,0,0,0,0,203,81,0.43,3,7
8,12,Baycrest Terrace,55 Ameer Avenue,105,50,104,0,48,1,0,1,1,51,51,1,1,0
8,13,St. Margaret Annex SS Fleming,50 Ameer Avenue,1769,29,36,9,1311,440,5,0,5,1761,335,0.19,0,0
8,14,Flemington Public School,10 Flemington Road,1880,77,83,2,1538,319,8,6,1,1872,397,0.21,1,0
8,15,Lawrence Heights Middle School,50 Highland Hill,2439,48,44,25,1641,762,13,11,22,2449,421,0.17,4,0
8,16,Yorkdale Secondary School,38 Orfus Road,508,8,6,1,201,278,1,0,30,510,142,0.28,0,0
8,17,Joyce Public School,26 Joyce Parkway,1187,23,24,12,428,736,4,2,10,1180,249,0.21,2,2
8,18,50 Lotherton Ptwy,50 Lotherton Ptwy,1212,16,8,1,1043,178,1,0,0,1222,249,0.2,0,0
8,20,Glen Long Community Centre,35 Glen Long Avenue,1421,15,19,11,674,717,9,5,10,1415,247,0.17,0,0
8,21,Beth Torah Synagogue,47 Glenbrook Avenue,1505,23,20,9,809,682,9,1,5,1506,340,0.23,0,1
8,22,Villa Colombo,40 Playfair Avenue,608,2,0,0,353,255,0,0,2,610,18,0.03,0,0
8,24,Casa Del Zotto,3010 Dufferin Street,274,6,2,5,162,116,0,0,0,278,127,0.46,0,0
8,25,Caboto Terrace,3050 Dufferin Street,347,5,29,10,216,107,0,1,0,324,126,0.39,0,0
8,26,Treviso 2,830 Lawrence Ave W,729,10,17,6,650,63,1,1,0,715,131,0.18,0,0
8,27,Treviso 1,800 Lawrence Ave W,439,12,10,12,381,56,3,1,0,441,108,0.25,0,1
8,29,Bathurst Place,3036 Bathurst Street,1605,15,20,4,1510,80,5,2,5,1602,344,0.22,0,1
8,30,Barbara Frum Community Centre,20 Covington Road,1916,38,25,3,1652,271,5,1,1,1930,487,0.25,0,0
8,31,Crystal Towers,2 Covington Road,382,1,12,0,351,17,2,0,0,370,174,0.47,0,1
